City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Sao Filipe,14.8961,-24.4956,75.74,73,41,8.28,CV,2022-05-16 21:24:25
67,Tanete,-3.9443,119.7848,74.75,98,89,5.86,ID,2022-05-16 21:24:25
68,San Lawrenz,36.0553,14.204,66.85,86,0,3.02,MT,2022-05-16 21:24:26
69,Yavoriv,49.9386,23.3825,49.24,73,31,4.36,UA,2022-05-16 21:24:26
70,Boyolangu,-8.1181,111.8935,74.37,91,100,0.69,ID,2022-05-16 21:24:27
71,Naze,28.3667,129.4833,63.52,89,100,10.71,JP,2022-05-16 21:24:27
72,Puerto El Triunfo,13.2833,-88.55,95.92,59,68,9.15,SV,2022-05-16 21:24:27
73,Khatanga,71.9667,102.5,29.03,88,97,11.23,RU,2022-05-16 21:24:28
74,Mount Isa,-20.7333,139.5,56.97,72,0,8.05,AU,2022-05-16 21:24:28
75,Tucuman,-26.8241,-65.2226,59.0,67,75,2.3,AR,2022-05-16 21:24:29
76,Ust-Kulom,61.6864,53.6902,41.94,95,48,6.46,RU,2022-05-16 21:24:29
77,Saint-Philippe,-21.3585,55.7679,71.19,83,95,11.86,RE,2022-05-16 21:24:29
78,Punta Arenas,-53.15,-70.9167,41.11,81,0,6.91,CL,2022-05-16 21:24:30
79,Mmabatho,-25.85,25.6333,57.7,56,46,7.83,ZA,2022-05-16 21:24:30
80,Coquimbo,-29.9533,-71.3436,56.93,76,0,10.36,CL,2022-05-16 21:24:31
81,Beringovskiy,63.05,179.3167,37.63,77,33,1.92,RU,2022-05-16 21:24:31
82,Barrow,71.2906,-156.7887,17.62,73,100,16.11,US,2022-05-16 21:24:32
83,Cherskiy,68.75,161.3,39.04,88,100,13.04,RU,2022-05-16 21:24:32
84,Maramba,-5.05,38.6167,61.45,91,9,2.55,TZ,2022-05-16 21:24:33
85,Broome,42.2506,-75.833,66.45,81,100,14.97,US,2022-05-16 21:24:33
