City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
282,La Palma,US,86.5,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
283,San Ramon,US,78.82,clear sky,37.7799,-121.978,San Ramon Marriott
287,Lompoc,US,77.56,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
288,Sakakah,SA,76.57,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
289,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
293,Koumac,NC,79.59,broken clouds,-20.5667,164.2833,Le Monitel
294,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
300,Belton,US,79.9,clear sky,38.812,-94.5319,Hampton Inn Belton/Kansas City area
308,Iralaya,HN,80.78,overcast clouds,15.0,-83.2333,Iglesia morava renovada
312,Santa Marta,CO,88.9,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
313,Emilio Carranza,MX,83.86,clear sky,19.9711,-96.6114,Hotel Carranza Inn
314,Sumbe,AO,75.79,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
315,Pala,TD,78.12,overcast clouds,9.3642,14.9046,Nectar Hôtel de Pala
316,Mitsamiouli,KM,79.09,clear sky,-11.3847,43.2844,Foyer ADM
321,Mecca,SA,84.7,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
324,Sola,VU,80.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
329,Santa Ana,US,87.64,few clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
332,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
333,Batie,BF,83.88,broken clouds,9.8833,-2.9167,Auberge SONDAR AFACI
336,Bowen,AU,75.61,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
337,Presidente Dutra,BR,77.05,moderate rain,-5.29,-44.49,Pousada Planalto
338,San Andres,CO,78.82,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
339,Itapirapua,BR,76.39,overcast clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
340,Manggar,ID,80.47,overcast clouds,-2.8833,108.2667,Guest Hotel
345,Puri,IN,82.92,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
351,Omboue,GA,78.66,overcast clouds,-1.5746,9.2618,Hotel Olako
353,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
355,Nuevo Progreso,MX,86.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
359,Samarai,PG,80.98,few clouds,-10.6167,150.6667,Nuli Sapi
361,Indiana,US,75.09,scattered clouds,40.0003,-86.2503,WonderTree Farm
374,Cockburn Town,TC,79.36,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
