City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Shache,CN,38.4167,77.2406,71.71,35,28,5.53,scattered clouds
80,Yefremov,RU,53.1481,38.0992,41.16,88,94,10.63,overcast clouds
81,Maningrida,AU,-12.0667,134.2667,74.75,65,9,8.21,clear sky
82,Ko Samui,TH,9.5357,99.9357,83.23,78,100,14.52,overcast clouds
83,Kloulklubed,PW,7.0419,134.2556,79.3,73,9,16.22,clear sky
84,Kapaa,US,22.0752,-159.319,82.38,79,40,9.22,scattered clouds
85,Keetmanshoop,NA,-26.5833,18.1333,67.08,31,0,15.1,clear sky
86,Kununurra,AU,-15.7667,128.7333,66.18,94,0,2.3,clear sky
87,Podosinovets,RU,60.2776,47.0659,45.25,96,96,7.49,light rain
88,Pangnirtung,CA,66.1451,-65.7125,26.6,86,20,8.05,few clouds
89,Saskylakh,RU,71.9167,114.0833,15.85,96,67,3.65,broken clouds
90,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,16.11,scattered clouds
91,Raudeberg,NO,61.9875,5.1352,50.67,76,0,5.88,clear sky
92,Dikson,RU,73.5069,80.5464,33.58,99,100,4.21,snow
93,Thompson,CA,55.7435,-97.8558,51.96,32,40,5.75,scattered clouds
94,Atuona,PF,-9.8,-139.0333,79.07,66,9,15.28,clear sky
95,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,80,12.53,light rain
96,Vierzon,FR,47.2101,2.0625,63.19,82,77,6.11,broken clouds
97,Jamestown,US,42.097,-79.2353,61.52,78,75,19.57,broken clouds
98,Mareeba,AU,-17.0,145.4333,74.44,80,0,0.98,clear sky
99,Sajanan,TN,37.0573,9.2426,59.92,66,8,4.12,clear sky
100,Andilamena,MG,-17.0167,48.5833,55.87,99,37,3.85,scattered clouds
101,Dillon,US,34.4166,-79.3712,91.38,50,72,9.24,broken clouds
102,Milledgeville,US,33.0801,-83.2321,91.54,38,0,12.66,clear sky
103,Deer Lake,CA,49.1667,-57.4316,48.06,66,75,12.66,broken clouds
104,Mataura,NZ,-46.1927,168.8643,54.48,86,100,1.59,overcast clouds
105,Cabedelo,BR,-6.9811,-34.8339,79.47,87,51,11.05,broken clouds
106,Talnakh,RU,69.4865,88.3972,36.21,98,100,5.84,moderate rain
107,Hithadhoo,MV,-0.6,73.0833,84.02,71,95,18.43,overcast clouds
108,Zhangye,CN,38.9342,100.4517,55.85,14,100,5.48,overcast clouds
109,Airai,TL,-8.9266,125.4092,61.43,72,11,2.51,few clouds
110,Bluff,NZ,-46.6,168.3333,54.81,83,100,16.58,light rain
111,Cheney,US,47.4874,-117.5758,67.14,45,75,16.11,broken clouds
112,Ancud,CL,-41.8697,-73.8203,47.28,71,17,7.49,few clouds
113,Sambava,MG,-14.2667,50.1667,71.4,83,17,9.28,few clouds
114,Bakchar,RU,57.0186,82.0711,55.18,93,96,7.7,overcast clouds
115,Chicama,PE,-7.8447,-79.1469,63.14,75,65,6.64,broken clouds
116,Sitka,US,57.0531,-135.33,46.29,71,75,8.05,light rain
117,Yakeshi,CN,49.2833,120.7333,52.56,48,57,6.44,broken clouds
118,Mahebourg,MU,-20.4081,57.7,73.69,78,75,9.22,broken clouds
119,Inverell,AU,-29.7833,151.1167,60.67,87,0,8.01,clear sky
120,Moussoro,TD,13.6408,16.4901,93.25,24,63,4.63,broken clouds
121,Cervo,ES,43.6702,-7.4101,66.96,77,5,5.48,clear sky
122,Presidente Epitacio,BR,-21.7633,-52.1156,58.35,69,8,8.68,clear sky
123,Aykhal,RU,66.0,111.5,33.49,98,100,6.4,overcast clouds
124,Sioux Lookout,CA,50.1001,-91.917,48.27,61,75,11.5,broken clouds
125,Belmonte,BR,-15.8631,-38.8828,76.55,86,60,8.21,broken clouds
